Trainning ...
Done traning
error = 0.27342176898778314
error = 0.2657209162609917
error = 0.264599636730839
error = 0.26381936434540343
error = 0.26321798577231076
error = 0.26268138659071616
error = 0.26209333557883846
error = 0.2612932350888176
error = 0.259979087058833
error = 0.2575651989439244
error = 0.25332584144828457
error = 0.2473232064467075
error = 0.2378730636675834
error = 0.2158718773153461
error = 0.18740396282583485
error = 0.1711597077561686
error = 0.16390375596512727
error = 0.16002897773310615
error = 0.15760080219075878
error = 0.1559286736370805
error = 0.15469868334431452
error = 0.15374530579296314
error = 0.15297437942867242
error = 0.15232911824927517
error = 0.1517733279973055
error = 0.15128265846251227
error = 0.1508398086460175
error = 0.15043175075091633
error = 0.15004801973417908
error = 0.14967957589847425
error = 0.1493179701521719
error = 0.1489546514212884
error = 0.14858031111711226
error = 0.14818418661112853
error = 0.14775325220001995
error = 0.1472712055680181
error = 0.14671709781098882
error = 0.1460633679010162
error = 0.14527301047237481
error = 0.14429564255801905
error = 0.14306131624763244
error = 0.14146998461208427
error = 0.13945917177870812
error = 0.13497081540918032
error = 0.11981330056561187
error = 0.09872519622659882
error = 0.07784922872238063
error = 0.05898592417011936
error = 0.04576668031139221
error = 0.03691864868142548
error = 0.030681233998670964
error = 0.026893988632906075
error = 0.024242092654968406
error = 0.021291755361166016
error = 0.018417262766443388
error = 0.01621347385639842
error = 0.015123463362238375
error = 0.013957705905610313
error = 0.012827423844278063
error = 0.01176049062657744
error = 0.0109467337139815
error = 0.01036618646991145
error = 0.009889190021851343
error = 0.009434792461862209
error = 0.008969986266908592
error = 0.008575414974185305
error = 0.00845946858055689
error = 0.008231460284564862
error = 0.007641307149945401
error = 0.007078835699340652
error = 0.0066252973158704926
error = 0.006251107921148725
error = 0.005970084268432028
error = 0.005715244788710333
error = 0.005448785384042389
error = 0.005292300358605336
error = 0.005024285621238642
error = 0.004716640623055475
error = 0.004317128354726232
error = 0.003929933945343091
error = 0.0037061311917154036
error = 0.0034216193193803957
error = 0.0030806012685438587
error = 0.0027097380525289783
error = 0.002335589430053532
error = 0.002000311453118761
error = 0.001745108611639936
error = 0.0015532776673958227
error = 0.0014167799485096664
error = 0.0013125799019358731
error = 0.00122380470920357
error = 0.0011460074538968473
error = 0.0010779855994053921
error = 0.0010184734669674152
error = 9.660559146666459E-4
error = 9.195117757034399E-4
error = 8.778647751967732E-4
error = 8.403324377267394E-4
error = 8.062810430564722E-4
error = 7.751954838869375E-4
error = 7.466565800109811E-4
error = 7.203223330701291E-4
error = 6.959123223385553E-4
error = 6.731950167692967E-4
error = 6.519776924075549E-4
error = 6.320985370496671E-4
error = 6.134205095891962E-4
error = 5.958265687940445E-4
error = 5.792159553928266E-4
error = 5.63501279488034E-4
error = 5.486062233678062E-4
error = 5.344637159172991E-4
error = 5.21014470196155E-4
error = 5.082058023824194E-4
error = 4.959906701830212E-4
error = 4.8432688365152634E-4
error = 4.73176452438416E-4
error = 4.6250504180708675E-4
error = 4.522815160046047E-4
error = 4.4247755231229295E-4
